Product Name,Price (₹),Rating,Reviews,Product Link,Image URL,Description
"HP 15 Laptop,13th Gen Intel Core i5-1334U, 16GB DDR4, 512GB SSD, 15.6-inch(39.6cm), Anti-Glare, FHD Laptop, Intel Iris Xe Graphics, Backlit KB, (Win 11, M.S. Office 24, Silver, 1.59kg) 15-FD0467TU","54,000",3.8 out of 5 stars,188,N/A,https://m.media-amazon.com/images/I/610AQ5AXDML._AC_UY218_.jpg,N/A
"HP Laptop 240R G9 (2024), Intel Core i3 13th Gen 1315U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14 (35.56cm)/Ash Grey/1.47 kg/MS Office 2021","35,999",3.7 out of 5 stars,13,N/A,https://m.media-amazon.com/images/I/71PUaQzv4+L._AC_UY218_.jpg,N/A
"hp Professional 14, 13th Gen Intel Core i5-1334U Turbo Boost, 16GB DDR4, 1TB GB SSD, (Win 11 Pro, MSO 21Pro, Silver Gray, 1.49kg), 14 inch Laptop, UHD Graphics, Backlit KB, 240 G10","57,600",2.5 out of 5 stars,5,N/A,https://m.media-amazon.com/images/I/61r1TeP9qhL._AC_UY218_.jpg,N/A
"HP Pavilion Plus, 13th Gen Intel Core i5-1335U Laptop (16GB DDR5, 512GB SSD) IPS WUXGA Anti-Glare, 14""/35.6cm, Win 11, Office 21, Silver, 1.44kg, Intel Iris Xe Graphics, 5MP IR Camera, ew0116TU","68,990",3.8 out of 5 stars,38,N/A,https://m.media-amazon.com/images/I/71KR4mF8JLL._AC_UY218_.jpg,N/A
"HP Laptop 15s, 12th Gen Intel Core i3-1215U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel UHD Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fy5004TU","38,980",4.1 out of 5 stars,"1,411",N/A,https://m.media-amazon.com/images/I/71VSVzgfK4L._AC_UY218_.jpg,N/A
"HP 255 G10 7000 Series AMD Ryzen 5 Quad Core 7520U 2.8Ghz Upto 4.3Ghz - (8 GB/512 GB SSD/AMD Radeon Graphics) 255 G10 Thin and Light Laptop (15.6 inch, Matt Silver, 1.45 kg)","29,110",3.4 out of 5 stars,29,N/A,https://m.media-amazon.com/images/I/71-Ia2Gvd0L._AC_UY218_.jpg,N/A
"HP Victus Gaming Laptop, AMD Ryzen 5 5600H, AMD 4GB Radeon RX 6500M Graphics, 15.6-inch (39.6 cm), FHD, IPS, 8GB DDR4, 512GB SSD, Backlit KB, B&O (Win 11, Blue, 2.29 kg), fb0147AX, fb0184ax","48,003",3.7 out of 5 stars,34,N/A,https://m.media-amazon.com/images/I/71hC42cKbsL._AC_UY218_.jpg,N/A
"HP 15, AMD Ryzen 5 7520U (8GB LPDDR5, 512GB SSD) Anti-Glare, FHD,15.6-inch (39.6 cm) Win 11, Office 21, FHD Camera with Privacy Shutter,15s-fc0155AU","36,900",3.8 out of 5 stars,16,N/A,https://m.media-amazon.com/images/I/71hox+BTuKL._AC_UY218_.jpg,N/A
"HP 15, 13th Gen Intel Core i5-1334U Laptop(16GB DDR4, 512GB SSD), 15.6""/39.6cm,FHD,Win 11,Office 24,Microsoft 365*, Silver,1.59kg, Iris Xe Graphics, FHD Camera w/Privacy Shutter, Backlit KB, fd0467tu","55,990",3.3 out of 5 stars,24,N/A,https://m.media-amazon.com/images/I/71bagLp2sXL._AC_UY218_.jpg,N/A
"HP Victus, AMD Ryzen 5 5600H, NVIDIA RTX 3050, 16GB DDR4, 512GB SSD (Win11, Office21, Blue, 2.37kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm) Gaming Laptop, Backlit kb, Enhanced Cooling, fb0106AX/Fb0112AX","60,990",4.2 out of 5 stars,302,N/A,https://m.media-amazon.com/images/I/71J2F-6lIPL._AC_UY218_.jpg,N/A
"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0569TU","36,990",4.1 out of 5 stars,"2,003",N/A,https://m.media-amazon.com/images/I/71K2w4+A7UL._AC_UY218_.jpg,N/A
"HP 15 (2025), AMD Ryzen 5 7520U Quad Core - (8 GB/512 GB SSD/AMD Radeon Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" HD Display/Turbo Silver/1.5 kg/MS Office 2021","29,380",2.5 out of 5 stars,3,N/A,https://m.media-amazon.com/images/I/71YZQa3BTEL._AC_UY218_.jpg,N/A
"HP 15s Laptop 12th Gen Intel Core i5-1235U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 15.6-inch FHD, Intel UHD Graphics, HD Camera, Backlit KB, 1.69kg) fq5111TU/fy5008tu","48,999",4.0 out of 5 stars,910,N/A,https://m.media-amazon.com/images/I/71QOEtrh6rL._AC_UY218_.jpg,N/A
"HP Pavilion x360, 13th Gen Intel Core i7-1355U (16GB DDR4, 512GB SSD), Touchscreen,IPS, 14''(35.6cm) FHD,Win 11, M365 Basic(1yr), Office Home 24, Rose gold,1.5kg,Iris Xe, Backlit, 5MP Camera, ek1152TU","84,490",4.3 out of 5 stars,15,N/A,https://m.media-amazon.com/images/I/71VP4qbjhYL._AC_UY218_.jpg,N/A
"HP 15, Intel Core Ultra 5 125H Laptop (16GB DDR5,1TB SSD) IPS, Anti-Glare, Micro-Edge, 15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24,Silver,1.65kg, FHD Camera w/Shutter, Backlit, fd1255TU","68,490",3.2 out of 5 stars,13,N/A,https://m.media-amazon.com/images/I/71RsD1QyfvL._AC_UY218_.jpg,N/A
"HP Pavilion x360, 13th Gen Intel Core i5-1355U (16GB DDR4, 512GB SSD),Touchscreen, IPS, 14-inch(35.6cm)FHD,Win11, M365 Basic(1year),Office Home24, Silver,1.5kg, Iris Xe, Backlit, 5MP Camera, ek1074TU","70,990",3.8 out of 5 stars,104,N/A,https://m.media-amazon.com/images/I/618zAXbM4uL._AC_UY218_.jpg,N/A
"HP Pavilion 13th Gen Intel Core i5-1340P (16GB RAM/512GB SSD) FHD, 15.6” (39.6cm), Windows 11/MS Office 21, Silver,1.74kg, eg3027TU 720p HD Camera, Backlit Keyboard, Audio by B&O Laptop","63,490",4.0 out of 5 stars,259,N/A,https://m.media-amazon.com/images/I/71Xa4o1DXpL._AC_UY218_.jpg,N/A
"HP Victus, 12th Gen Intel Core i5-12450H, RTX 3050 Gaming Laptop (16GB DDR4, 512GB SSD) 144Hz, IPS, 15.6""/39.6cm, FHD, Win 11, MS Office 21, Blue, 2.3kg, fa1379TX/fa1412tx","61,990",3.8 out of 5 stars,47,N/A,https://m.media-amazon.com/images/I/71YRiXlRR9L._AC_UY218_.jpg,N/A
"HP 15, 13th Gen Intel Core i5-1334U Laptop (16GB DDR4,1TB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11, M365 Basic(1yr),Office Home24, Silver,1.59kg, Iris Xe, FHD Camera w/Shutter, FD0552TU","59,990",3.3 out of 5 stars,14,N/A,https://m.media-amazon.com/images/I/71auKfrF0EL._AC_UY218_.jpg,N/A
"HP 15s, 12th Gen Intel Core i3-1215U Laptop (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm, FHD, Win 11, MS Office 21, Silver, 1.69kg, Intel UHD Graphics, HD Camera, Dual Speakers, fy5011TU","34,490",3.8 out of 5 stars,166,N/A,https://m.media-amazon.com/images/I/71k9Z+agn8L._AC_UY218_.jpg,N/A
"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6'' FHD, Backlit KB,Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0572TU","38,990",3.0 out of 5 stars,8,N/A,https://m.media-amazon.com/images/I/71XMY67putL._AC_UY218_.jpg,N/A
"HP 15 Pavilion AMD Ryzen 5 7530U, 15.6-inch FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, 720p HD Camera, Backlit KB, Audio by B&O (Win 11 Home, MSO 2021, Silver, 1.75 kg), eh3036AU / EH2050AU","41,999",4.2 out of 5 stars,282,N/A,https://m.media-amazon.com/images/I/71lWuRFiCoL._AC_UY218_.jpg,N/A
"HP Envy x360, 13th Gen Intel Core i5-1335U,16GB DDR5, 512GB SSD, (Win11,Office21,Black,1.77kg),Touchscreen,OLED, 15.6-inch(39.6cm) FHD Laptop, Intel Iris Xe graphics, 5MP IR camera, B&O, Pen, fe0028TU","90,800",4.2 out of 5 stars,31,N/A,https://m.media-amazon.com/images/I/61T7MlPYUrL._AC_UY218_.jpg,N/A
"HP (Smartchoice Omen AMD Ryzen 7 7840Hs/16.1""(40.9cm) AI Gaming Laptop 7Ms Response Time(8gb RTX 4060/16GB DDR5/SSD,1TB) FHD,IPS,165Hz,300Nits(win11,Black,2.32kg),Xd0020Ax","1,02,990",3.9 out of 5 stars,219,N/A,https://m.media-amazon.com/images/I/715WLPCIrIL._AC_UY218_.jpg,N/A
"HP 15s Core i5 12th Gen (8GB RAM/512GB SSD/FHD/15.6"" (39.6 cm)/Windows 11/MS Office/Backlit Keyboard/Silver/1.69 kg) fq5329TU Laptop","43,490",3.8 out of 5 stars,310,N/A,https://m.media-amazon.com/images/I/713nDmiZaML._AC_UY218_.jpg,N/A
"HP 15 (2025), AMD Ryzen 3 7320U Quad Core - (8 GB/512 GB SSD/AMD Radeon Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" HD Display/Turbo Silver/1.5 kg","28,990",4.0 out of 5 stars,1,N/A,https://m.media-amazon.com/images/I/71YZQa3BTEL._AC_UY218_.jpg,N/A
"HP Laptop 255 G9 (2024), AMD Athlon Silver 3050U - (8GB/256GB SSD/AMD Radeon Graphics/Windows 11) Thin and Light Business Laptop/15.6"" (39.62cm)/Black/1.47 kg/MS Office 2021","23,990",3.6 out of 5 stars,49,N/A,https://m.media-amazon.com/images/I/714KND42UKL._AC_UY218_.jpg,N/A
"HP Chromebook X360,Intel Celeron N4120,14-Inch (35.6 Cm),Hd,4Gb Lpddr4,64Gb Emmc,Intel Uhd Graphics,Thin&Light,Dual Speakers,Brightview Display (Chrome 64,White,1.49 Kg),Ca0505Tu,Chrome OS","24,768",3.7 out of 5 stars,71,N/A,https://m.media-amazon.com/images/I/71RtDaCk2CL._AC_UY218_.jpg,N/A
"HP 15, 13th Gen Intel Core i5-1334U Laptop (16GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm, FHD, Win 11, MS Office 21, Silver, 1.59kg, Intel Iris Xe Graphics, 1080p FHD Camera, Backlit KB, fd0221TU","54,100",3.8 out of 5 stars,188,N/A,https://m.media-amazon.com/images/I/71Zi-z2FtCL._AC_UY218_.jpg,N/A
"HP 15 (2025), Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Intel UHD Graphics) Thin and Light Business Laptop/15.6"" HD Display/Ash Grey/1.5 kg","32,490",4.2 out of 5 stars,3,N/A,https://m.media-amazon.com/images/I/71sxKjBSHKL._AC_UY218_.jpg,N/A
"HP 14 (2025), AMD Ryzen 5 7520U Quad Core - (8 GB/512 GB SSD/AMD Radeon Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" HD Display/Ash Grey/1.36 kg/MS Office 2021","32,999",4.0 out of 5 stars,1,N/A,https://m.media-amazon.com/images/I/71OYTmMWyLL._AC_UY218_.jpg,N/A
