Product Name,Product Features,Price (₹),Rating,Reviews,Product Link,Image URL,Description
Kuber Industries,N/A,99,1.8 out of 5 stars,64,N/A,https://m.media-amazon.com/images/I/71nFTrpgPaL._AC_UL320_.jpg,N/A
Bata,N/A,540,3.9 out of 5 stars,730,N/A,https://m.media-amazon.com/images/I/51C+ThnOtpL._AC_UL320_.jpg,N/A
Neeman's,N/A,469,3.9 out of 5 stars,"1,111",N/A,https://m.media-amazon.com/images/I/51JxPGr-nPL._AC_UL320_.jpg,N/A
YOHO,N/A,647,4.0 out of 5 stars,"1,643",N/A,https://m.media-amazon.com/images/I/51k8aj202IL._AC_UL320_.jpg,N/A
Bata,N/A,299,4.1 out of 5 stars,479,N/A,https://m.media-amazon.com/images/I/51vL4DFsVDL._AC_UL320_.jpg,N/A
YOHO,N/A,779,3.8 out of 5 stars,69,N/A,https://m.media-amazon.com/images/I/617VW7mg1mL._AC_UL320_.jpg,N/A
YOHO,N/A,779,3.8 out of 5 stars,69,N/A,https://m.media-amazon.com/images/I/617VW7mg1mL._AC_UL320_.jpg,N/A
Kraasa,N/A,299,4.4 out of 5 stars,90,N/A,https://m.media-amazon.com/images/I/7114W4k6MzL._AC_UL320_.jpg,N/A
Doctor Health,N/A,759,4.0 out of 5 stars,71,N/A,https://m.media-amazon.com/images/I/51hSoYMoAbL._AC_UL320_.jpg,N/A
DOCTOR EXTRA SOFT,N/A,473,4.1 out of 5 stars,"1,625",N/A,https://m.media-amazon.com/images/I/61E7BWbWTQL._AC_UL320_.jpg,N/A
adidas,N/A,618,3.5 out of 5 stars,149,N/A,https://m.media-amazon.com/images/I/81zU6oEN5gL._AC_UL320_.jpg,N/A
Bata,N/A,339,4.0 out of 5 stars,489,N/A,https://m.media-amazon.com/images/I/51vL4DFsVDL._AC_UL320_.jpg,N/A
adidas,N/A,787,3.8 out of 5 stars,"6,651",N/A,https://m.media-amazon.com/images/I/81bl81g2ZiL._AC_UL320_.jpg,N/A
U.S. POLO ASSN.,N/A,"1,078",3.9 out of 5 stars,216,N/A,https://m.media-amazon.com/images/I/61b-GGZFMOL._AC_UL320_.jpg,N/A
Puma,N/A,849,3.7 out of 5 stars,164,N/A,https://m.media-amazon.com/images/I/51wLygzPLuL._AC_UL320_.jpg,N/A
Crocs,N/A,"2,271",4.2 out of 5 stars,"19,875",N/A,https://m.media-amazon.com/images/I/411rUK7pcML._AC_UL320_.jpg,N/A
U.S. POLO ASSN.,N/A,"1,329",3.3 out of 5 stars,24,N/A,https://m.media-amazon.com/images/I/71msUbv7RcL._AC_UL320_.jpg,N/A
SPARX,N/A,280,4.2 out of 5 stars,"39,091",N/A,https://m.media-amazon.com/images/I/41nC89rf5iL._AC_UL320_.jpg,N/A
