Product Name,Product Features,Price (₹),Rating,Reviews,Product Link,Image URL,Description
Nike,N/A,"3,495",4.2 out of 5 stars,23,N/A,https://m.media-amazon.com/images/I/71zFnwnKwgL._AC_UL320_.jpg,N/A
ASIAN,N/A,"1,199",3.6 out of 5 stars,161,N/A,https://m.media-amazon.com/images/I/71t+8Gzi7SL._AC_UL320_.jpg,N/A
Skechers,N/A,"2,700",3.9 out of 5 stars,118,N/A,https://m.media-amazon.com/images/I/71O62Damy3L._AC_UL320_.jpg,N/A
Campus,N/A,"1,249",4.0 out of 5 stars,"1,769",N/A,https://m.media-amazon.com/images/I/81g0NuUrDKL._AC_UL320_.jpg,N/A
Reebok,N/A,"1,442",3.7 out of 5 stars,53,N/A,https://m.media-amazon.com/images/I/51F7v1JAMtL._AC_UL320_.jpg,N/A
Puma,N/A,"2,599",4.4 out of 5 stars,31,N/A,https://m.media-amazon.com/images/I/51ZBSSPyrUL._AC_UL320_.jpg,N/A
Puma,N/A,"1,414",3.8 out of 5 stars,582,N/A,https://m.media-amazon.com/images/I/51E1BriR43L._AC_UL320_.jpg,N/A
ASIAN,N/A,660,3.8 out of 5 stars,370,N/A,https://m.media-amazon.com/images/I/81S8+dr6klL._AC_UL320_.jpg,N/A
Campus,N/A,"1,599",3.9 out of 5 stars,74,N/A,https://m.media-amazon.com/images/I/71aihIonYZL._AC_UL320_.jpg,N/A
Bata,N/A,407,3.7 out of 5 stars,"3,191",N/A,https://m.media-amazon.com/images/I/61D5JyuojVL._AC_UL320_.jpg,N/A
Bata,N/A,457,3.8 out of 5 stars,887,N/A,https://m.media-amazon.com/images/I/71ySHBDbJqL._AC_UL320_.jpg,N/A
Reebok,N/A,"1,512",4.0 out of 5 stars,96,N/A,https://m.media-amazon.com/images/I/51RAStiexQL._AC_UL320_.jpg,N/A
Puma,N/A,"2,056",4.1 out of 5 stars,701,N/A,https://m.media-amazon.com/images/I/61hWZul1wiL._AC_UL320_.jpg,N/A
ASIAN,N/A,753,3.8 out of 5 stars,"6,434",N/A,https://m.media-amazon.com/images/I/81Qi5P+GYbL._AC_UL320_.jpg,N/A
Puma,N/A,"3,599",3.3 out of 5 stars,12,N/A,https://m.media-amazon.com/images/I/51QBqpS4zxL._AC_UL320_.jpg,N/A
ASIAN,N/A,849,3.8 out of 5 stars,"1,994",N/A,https://m.media-amazon.com/images/I/51vq9mxeeDL._AC_UL320_.jpg,N/A
Bata,N/A,749,3.8 out of 5 stars,76,N/A,https://m.media-amazon.com/images/I/61h2bmU0eJL._AC_UL320_.jpg,N/A
Skechers,N/A,"2,699",4.1 out of 5 stars,137,N/A,https://m.media-amazon.com/images/I/81XIWOAsCBL._AC_UL320_.jpg,N/A
Puma,N/A,"1,709",4.0 out of 5 stars,"3,852",N/A,https://m.media-amazon.com/images/I/51UsX66AY3L._AC_UL320_.jpg,N/A
Campus,N/A,"1,299",4.1 out of 5 stars,109,N/A,https://m.media-amazon.com/images/I/71kImjj3d1L._AC_UL320_.jpg,N/A
ASIAN,N/A,"1,549",4.0 out of 5 stars,926,N/A,https://m.media-amazon.com/images/I/81v0e+VgX1L._AC_UL320_.jpg,N/A
